date,product_id,units_sold,unit_price,current_stock,lead_time_days
2024-09-18,A-101 Rice 5kg,136,420,2262,7
2024-09-19,A-101 Rice 5kg,108,420,2262,7
2024-09-20,A-101 Rice 5kg,82,420,2262,7
2024-09-21,A-101 Rice 5kg,82,420,2262,7
2024-09-22,A-101 Rice 5kg,113,420,2262,7
2024-09-23,A-101 Rice 5kg,130,420,2262,7
2024-09-24,A-101 Rice 5kg,156,420,2262,7
2024-09-25,A-101 Rice 5kg,157,420,2262,7
2024-09-26,A-101 Rice 5kg,98,420,2262,7
2024-09-27,A-101 Rice 5kg,185,420,2262,7
2024-09-28,A-101 Rice 5kg,229,420,2262,7
2024-09-29,A-101 Rice 5kg,294,420,2262,7
2024-09-30,A-101 Rice 5kg,149,420,2262,7
2024-10-01,A-101 Rice 5kg,137,420,2262,7
2024-10-02,A-101 Rice 5kg,134,420,2262,7
2024-10-03,A-101 Rice 5kg,112,420,2262,7
2024-10-04,A-101 Rice 5kg,70,420,2262,7
2024-10-05,A-101 Rice 5kg,86,420,2262,7
2024-10-06,A-101 Rice 5kg,91,420,2262,7
2024-10-07,A-101 Rice 5kg,124,420,2262,7
2024-10-08,A-101 Rice 5kg,119,420,2262,7
2024-10-09,A-101 Rice 5kg,130,420,2262,7
2024-10-10,A-101 Rice 5kg,87,420,2262,7
2024-10-11,A-101 Rice 5kg,86,420,2262,7
2024-10-12,A-101 Rice 5kg,92,420,2262,7
2024-10-13,A-101 Rice 5kg,115,420,2262,7
2024-10-14,A-101 Rice 5kg,101,420,2262,7
2024-10-15,A-101 Rice 5kg,142,420,2262,7
2024-10-16,A-101 Rice 5kg,132,420,2262,7
2024-10-17,A-101 Rice 5kg,104,420,2262,7
2024-10-18,A-101 Rice 5kg,68,420,2262,7
2024-10-19,A-101 Rice 5kg,136,420,2262,7
2024-10-20,A-101 Rice 5kg,166,420,2262,7
2024-10-21,A-101 Rice 5kg,209,420,2262,7
2024-10-22,A-101 Rice 5kg,273,420,2262,7
2024-10-23,A-101 Rice 5kg,191,420,2262,7
2024-10-24,A-101 Rice 5kg,162,420,2262,7
2024-10-25,A-101 Rice 5kg,146,420,2262,7
2024-10-26,A-101 Rice 5kg,133,420,2262,7
2024-10-27,A-101 Rice 5kg,184,420,2262,7
2024-10-28,A-101 Rice 5kg,234,420,2262,7
2024-10-29,A-101 Rice 5kg,243,420,2262,7
2024-10-30,A-101 Rice 5kg,180,420,2262,7
2024-10-31,A-101 Rice 5kg,164,420,2262,7
2024-11-01,A-101 Rice 5kg,96,420,2262,7
2024-11-02,A-101 Rice 5kg,73,420,2262,7
2024-11-03,A-101 Rice 5kg,128,420,2262,7
2024-11-04,A-101 Rice 5kg,146,420,2262,7
2024-11-05,A-101 Rice 5kg,139,420,2262,7
2024-11-06,A-101 Rice 5kg,163,420,2262,7
2024-11-07,A-101 Rice 5kg,110,420,2262,7
2024-11-08,A-101 Rice 5kg,70,420,2262,7
2024-11-09,A-101 Rice 5kg,90,420,2262,7
2024-11-10,A-101 Rice 5kg,124,420,2262,7
2024-11-11,A-101 Rice 5kg,140,420,2262,7
2024-11-12,A-101 Rice 5kg,162,420,2262,7
2024-11-13,A-101 Rice 5kg,130,420,2262,7
2024-11-14,A-101 Rice 5kg,109,420,2262,7
2024-11-15,A-101 Rice 5kg,96,420,2262,7
2024-11-16,A-101 Rice 5kg,82,420,2262,7
2024-11-17,A-101 Rice 5kg,119,420,2262,7
2024-11-18,A-101 Rice 5kg,135,420,2262,7
2024-11-19,A-101 Rice 5kg,152,420,2262,7
2024-11-20,A-101 Rice 5kg,112,420,2262,7
2024-11-21,A-101 Rice 5kg,94,420,2262,7
2024-11-22,A-101 Rice 5kg,80,420,2262,7
2024-11-23,A-101 Rice 5kg,98,420,2262,7
2024-11-24,A-101 Rice 5kg,132,420,2262,7
2024-11-25,A-101 Rice 5kg,121,420,2262,7
2024-11-26,A-101 Rice 5kg,136,420,2262,7
2024-11-27,A-101 Rice 5kg,141,420,2262,7
2024-11-28,A-101 Rice 5kg,77,420,2262,7
2024-11-29,A-101 Rice 5kg,78,420,2262,7
2024-11-30,A-101 Rice 5kg,88,420,2262,7
2024-12-01,A-101 Rice 5kg,134,420,2262,7
2024-12-02,A-101 Rice 5kg,155,420,2262,7
2024-12-03,A-101 Rice 5kg,144,420,2262,7
2024-12-04,A-101 Rice 5kg,126,420,2262,7
2024-12-05,A-101 Rice 5kg,98,420,2262,7
2024-12-06,A-101 Rice 5kg,97,420,2262,7
2024-12-07,A-101 Rice 5kg,85,420,2262,7
2024-12-08,A-101 Rice 5kg,112,420,2262,7
2024-12-09,A-101 Rice 5kg,150,420,2262,7
2024-12-10,A-101 Rice 5kg,149,420,2262,7
2024-12-11,A-101 Rice 5kg,129,420,2262,7
2024-12-12,A-101 Rice 5kg,88,420,2262,7
2024-12-13,A-101 Rice 5kg,83,420,2262,7
2024-12-14,A-101 Rice 5kg,85,420,2262,7
2024-12-15,A-101 Rice 5kg,134,420,2262,7
2024-12-16,A-101 Rice 5kg,156,420,2262,7
2024-12-17,A-101 Rice 5kg,151,420,2262,7
2024-12-18,A-101 Rice 5kg,143,420,2262,7
2024-12-19,A-101 Rice 5kg,98,420,2262,7
2024-12-20,A-101 Rice 5kg,94,420,2262,7
2024-12-21,A-101 Rice 5kg,90,420,2262,7
2024-12-22,A-101 Rice 5kg,126,420,2262,7
2024-12-23,A-101 Rice 5kg,123,420,2262,7
2024-12-24,A-101 Rice 5kg,159,420,2262,7
